,State,County,State Abbreviation,Year,FIPS,State FIPS Code,County FIPS Code,Max AQI,90th Percentile AQI,% Days AQI Unhealthy-Hazardous,% Days CO,% Days NO2,% Days SO2,% Days Ozone,% Days PM2.5,% Days PM10
0,alabama,autauga,AL,1980,01001,01,001,177,108,2.2346368715083798,0.0,0.0,31.843575418994412,68.15642458100558,0.0,0.0
1,alabama,autauga,AL,1981,01001,01,001,195,77,1.1204481792717087,0.0,0.0,32.49299719887955,67.50700280112045,0.0,0.0
2,alabama,autauga,AL,1982,01001,01,001,206,67,0.40816326530612246,0.0,0.0,32.244897959183675,67.75510204081633,0.0,0.0
3,alabama,autauga,AL,1989,01001,01,001,100,64,0.0,0.0,0.0,0.0,100.0,0.0,0.0
4,alabama,autauga,AL,1990,01001,01,001,151,93,0.37593984962406013,0.0,0.0,0.0,100.0,0.0,0.0
5,alabama,colbert,AL,1980,01033,01,033,200,165,14.233576642335766,0.0,0.0,100.0,0.0,0.0,0.0
6,alabama,colbert,AL,1981,01033,01,033,200,149,9.776536312849162,0.0,0.0,100.0,0.0,0.0,0.0
7,alabama,colbert,AL,1982,01033,01,033,200,148,9.577464788732394,0.0,0.0,100.0,0.0,0.0,0.0
8,alabama,colbert,AL,1983,01033,01,033,200,129,4.678362573099415,0.0,0.0,100.0,0.0,0.0,0.0
9,alabama,colbert,AL,1984,01033,01,033,200,127,5.459770114942529,0.0,0.0,100.0,0.0,0.0,0.0
10,alabama,colbert,AL,1985,01033,01,033,194,123,3.717472118959108,0.0,0.0,100.0,0.0,0.0,0.0
11,alabama,colbert,AL,1986,01033,01,033,200,141,6.197183098591549,0.0,0.0,100.0,0.0,0.0,0.0
12,alabama,colbert,AL,1987,01033,01,033,200,148,9.72762645914397,0.0,0.0,100.0,0.0,0.0,0.0
13,alabama,colbert,AL,1988,01033,01,033,200,118,3.216374269005848,0.0,0.0,100.0,0.0,0.0,0.0
14,alabama,colbert,AL,1989,01033,01,033,200,107,2.785515320334262,0.0,0.0,100.0,0.0,0.0,0.0
15,alabama,colbert,AL,1990,01033,01,033,192,106,0.8356545961002786,0.0,0.0,90.25069637883009,0.0,0.0,9.749303621169917
16,alabama,colbert,AL,1991,01033,01,033,158,77,0.2785515320334262,0.0,0.0,91.36490250696379,0.0,0.0,8.635097493036211
17,alabama,colbert,AL,1992,01033,01,033,129,51,0.0,0.0,0.0,89.86301369863014,0.0,0.0,10.136986301369863
18,alabama,colbert,AL,1993,01033,01,033,176,70,0.8379888268156425,0.0,0.0,89.3854748603352,0.0,0.0,10.614525139664805
19,alabama,colbert,AL,1994,01033,01,033,185,97,0.5952380952380952,0.0,0.0,24.404761904761905,72.91666666666666,0.0,2.6785714285714284
20,alabama,colbert,AL,1995,01033,01,033,133,71,0.0,0.0,0.0,57.14285714285714,33.54037267080746,0.0,9.316770186335404
21,alabama,colbert,AL,1996,01033,01,033,123,54,0.0,0.0,0.0,89.89071038251366,0.0,0.0,10.10928961748634
22,alabama,colbert,AL,1997,01033,01,033,144,52,0.0,0.0,0.0,90.10989010989012,0.0,0.0,9.89010989010989
23,alabama,colbert,AL,1998,01033,01,033,121,39,0.0,0.0,0.0,89.74358974358975,0.0,0.0,10.256410256410255
24,alabama,colbert,AL,1999,01033,01,033,166,73,0.2785515320334262,0.0,0.0,79.10863509749304,0.0,20.891364902506965,0.0
25,alabama,colbert,AL,2000,01033,01,033,124,67,0.0,0.0,0.0,72.62569832402235,0.0,27.37430167597765,0.0
26,alabama,colbert,AL,2001,01033,01,033,116,67,0.0,0.0,0.0,76.11111111111111,0.0,23.88888888888889,0.0
27,alabama,colbert,AL,2002,01033,01,033,166,84,0.8241758241758242,0.0,5.21978021978022,27.472527472527474,48.9010989010989,18.40659340659341,0.0
28,alabama,colbert,AL,2003,01033,01,033,151,79,0.273972602739726,0.0,0.821917808219178,23.56164383561644,53.97260273972603,21.643835616438356,0.0
29,alabama,colbert,AL,2004,01033,01,033,102,61,0.0,0.0,0.0,27.595628415300546,50.0,22.404371584699454,0.0
30,alabama,colbert,AL,2005,01033,01,033,126,75,0.0,0.0,0.0,25.753424657534246,51.50684931506849,22.73972602739726,0.0
31,alabama,colbert,AL,2006,01033,01,033,129,71,0.0,0.0,0.0,27.671232876712327,48.76712328767123,23.56164383561644,0.0
32,alabama,colbert,AL,2007,01033,01,033,122,84,0.0,0.0,0.0,14.814814814814813,59.876543209876544,25.308641975308642,0.0
33,alabama,colbert,AL,2008,01033,01,033,97,64,0.0,0.0,0.0,0.0,69.67509025270758,30.324909747292416,0.0
34,alabama,colbert,AL,2009,01033,01,033,76,60,0.0,0.0,0.0,0.0,40.86687306501548,59.133126934984524,0.0
35,alabama,colbert,AL,2010,01033,01,033,105,67,0.0,0.0,0.0,0.0,32.11267605633803,67.88732394366197,0.0
36,alabama,colbert,AL,2011,01033,01,033,101,61,0.0,0.0,0.0,0.0,70.60931899641577,29.39068100358423,0.0
37,alabama,colbert,AL,2012,01033,01,033,136,62,0.0,0.0,0.0,0.0,73.85159010600707,26.148409893992934,0.0
38,alabama,colbert,AL,2013,01033,01,033,80,51,0.0,0.0,0.0,0.0,70.87719298245614,29.122807017543863,0.0
39,alabama,colbert,AL,2014,01033,01,033,87,52,0.0,0.0,0.0,0.0,72.53521126760563,27.464788732394368,0.0
40,alabama,colbert,AL,2015,01033,01,033,73,51,0.0,0.0,0.0,0.0,69.64285714285714,30.357142857142854,0.0
41,alabama,colbert,AL,2016,01033,01,033,115,50,0.0,0.0,0.0,0.0,77.6595744680851,22.340425531914892,0.0
42,alabama,colbert,AL,2017,01033,01,033,63,48,0.0,0.0,0.0,0.0,77.03180212014135,22.968197879858657,0.0
43,alabama,jackson,AL,1980,01071,01,071,200,200,21.584699453551913,0.0,0.0,100.0,0.0,0.0,0.0
44,alabama,jackson,AL,1981,01071,01,071,200,200,25.753424657534246,0.0,0.0,100.0,0.0,0.0,0.0
45,alabama,jackson,AL,1982,01071,01,071,200,94,1.1111111111111112,0.0,0.0,100.0,0.0,0.0,0.0
46,alabama,jackson,AL,1983,01071,01,071,200,110,3.8095238095238098,0.0,0.0,100.0,0.0,0.0,0.0
47,alabama,jackson,AL,1984,01071,01,071,200,106,3.0386740331491713,0.0,0.0,100.0,0.0,0.0,0.0
48,alabama,jackson,AL,1985,01071,01,071,139,91,0.0,0.0,0.0,100.0,0.0,0.0,0.0
49,alabama,jackson,AL,1986,01071,01,071,200,102,1.483679525222552,0.0,0.0,100.0,0.0,0.0,0.0
50,alabama,jackson,AL,1987,01071,01,071,200,110,3.543307086614173,0.0,0.0,100.0,0.0,0.0,0.0
51,alabama,jackson,AL,1988,01071,01,071,200,90,0.6711409395973155,0.0,0.0,100.0,0.0,0.0,0.0
52,alabama,jackson,AL,1989,01071,01,071,193,79,0.2762430939226519,0.0,0.0,100.0,0.0,0.0,0.0
53,alabama,jackson,AL,1990,01071,01,071,191,101,1.1267605633802817,0.0,0.0,95.49295774647887,0.0,0.0,4.507042253521127
54,alabama,jackson,AL,1991,01071,01,071,140,85,0.0,0.0,0.0,93.62880886426593,0.0,0.0,6.3711911357340725
55,alabama,jackson,AL,1992,01071,01,071,200,75,0.8241758241758242,0.0,0.0,91.48351648351648,0.0,0.0,8.516483516483516
56,alabama,jackson,AL,1993,01071,01,071,200,71,0.8241758241758242,0.0,0.0,92.03296703296702,0.0,0.0,7.967032967032966
57,alabama,jackson,AL,1994,01071,01,071,160,61,0.547945205479452,0.0,0.0,92.32876712328768,0.0,0.0,7.671232876712329
58,alabama,jackson,AL,1995,01071,01,071,193,56,0.5633802816901409,0.0,0.0,90.14084507042254,0.0,0.0,9.859154929577464
59,alabama,jackson,AL,1996,01071,01,071,119,47,0.0,0.0,0.0,92.28571428571428,0.0,0.0,7.7142857142857135
60,alabama,jackson,AL,1997,01071,01,071,200,52,0.5633802816901409,0.0,0.0,98.59154929577466,0.0,0.0,1.4084507042253522
61,alabama,jackson,AL,1998,01071,01,071,182,65,0.2881844380403458,0.0,0.0,100.0,0.0,0.0,0.0
62,alabama,jackson,AL,1999,01071,01,071,154,85,0.5649717514124294,0.0,0.0,100.0,0.0,0.0,0.0
63,alabama,jackson,AL,2000,01071,01,071,200,81,1.4044943820224718,0.0,0.0,100.0,0.0,0.0,0.0
64,alabama,jackson,AL,2001,01071,01,071,150,55,0.0,0.0,0.0,100.0,0.0,0.0,0.0
65,alabama,jackson,AL,2002,01071,01,071,200,50,0.5586592178770949,0.0,0.0,100.0,0.0,0.0,0.0
66,alabama,jackson,AL,2003,01071,01,071,199,47,0.821917808219178,0.0,0.0,100.0,0.0,0.0,0.0
67,alabama,jackson,AL,2004,01071,01,071,200,74,0.273972602739726,0.0,1.643835616438356,16.986301369863014,81.36986301369863,0.0,0.0
68,alabama,jackson,AL,2005,01071,01,071,131,56,0.0,0.0,0.8241758241758242,94.5054945054945,4.670329670329671,0.0,0.0
69,alabama,jackson,AL,2006,01071,01,071,104,39,0.0,0.0,0.0,100.0,0.0,0.0,0.0
70,alabama,jackson,AL,2007,01071,01,071,120,40,0.0,0.0,0.0,100.0,0.0,0.0,0.0
71,alabama,jefferson,AL,1980,01073,01,073,221,140,7.602339181286549,59.06432748538012,0.0,0.0,40.93567251461988,0.0,0.0
72,alabama,jefferson,AL,1981,01073,01,073,239,156,10.95890410958904,17.534246575342465,0.0,7.123287671232877,75.34246575342466,0.0,0.0
73,alabama,jefferson,AL,1982,01073,01,073,228,129,5.7534246575342465,20.54794520547945,0.0,8.493150684931507,70.95890410958904,0.0,0.0
74,alabama,jefferson,AL,1983,01073,01,073,243,125,4.657534246575342,36.43835616438356,0.0,15.068493150684931,48.49315068493151,0.0,0.0
75,alabama,jefferson,AL,1984,01073,01,073,174,89,0.819672131147541,45.62841530054645,0.0,0.0,54.37158469945356,0.0,0.0
76,alabama,jefferson,AL,1985,01073,01,073,202,101,2.191780821917808,26.84931506849315,0.0,7.671232876712329,44.657534246575345,0.0,20.82191780821918
77,alabama,jefferson,AL,1986,01073,01,073,224,112,1.9178082191780823,20.273972602739725,0.0,7.397260273972603,38.63013698630137,0.0,33.6986301369863
78,alabama,jefferson,AL,1987,01073,01,073,182,105,1.095890410958904,23.013698630136986,0.0,5.47945205479452,42.19178082191781,0.0,29.315068493150687
79,alabama,jefferson,AL,1988,01073,01,073,223,129,6.830601092896176,27.86885245901639,0.0,0.0,53.825136612021865,0.0,18.30601092896175
80,alabama,jefferson,AL,1989,01073,01,073,177,93,1.095890410958904,21.643835616438356,0.0,0.0,45.20547945205479,0.0,33.15068493150685
81,alabama,jefferson,AL,1990,01073,01,073,203,133,7.397260273972603,14.246575342465754,0.0,15.890410958904111,50.95890410958904,0.0,18.904109589041095
82,alabama,jefferson,AL,1991,01073,01,073,166,95,1.36986301369863,9.315068493150685,0.0,23.013698630136986,44.38356164383562,0.0,23.28767123287671
83,alabama,jefferson,AL,1992,01073,01,073,195,97,2.185792349726776,16.39344262295082,0.0,23.770491803278688,43.71584699453552,0.0,16.120218579234972
84,alabama,jefferson,AL,1993,01073,01,073,205,102,1.643835616438356,8.767123287671232,0.0,29.315068493150687,48.21917808219178,0.0,13.698630136986301
85,alabama,jefferson,AL,1994,01073,01,073,166,101,0.821917808219178,12.054794520547945,0.0,23.28767123287671,47.12328767123288,0.0,17.534246575342465
86,alabama,jefferson,AL,1995,01073,01,073,222,140,7.671232876712329,13.972602739726028,0.0,14.246575342465754,53.97260273972603,0.0,17.80821917808219
87,alabama,jefferson,AL,1996,01073,01,073,217,100,4.098360655737705,14.207650273224044,0.0,12.841530054644808,52.18579234972678,0.0,20.76502732240437
88,alabama,jefferson,AL,1997,01073,01,073,202,101,2.191780821917808,23.835616438356162,0.0,12.876712328767123,38.35616438356164,0.0,24.93150684931507
89,alabama,jefferson,AL,1998,01073,01,073,212,122,6.027397260273973,16.43835616438356,0.0,16.71232876712329,38.63013698630137,0.0,28.21917808219178
90,alabama,jefferson,AL,1999,01073,01,073,273,152,10.95890410958904,9.863013698630137,0.0,4.383561643835616,18.08219178082192,61.09589041095891,6.575342465753424
91,alabama,jefferson,AL,2000,01073,01,073,208,143,8.19672131147541,7.103825136612022,0.0,11.202185792349727,18.30601092896175,59.2896174863388,4.098360655737705
92,alabama,jefferson,AL,2001,01073,01,073,265,143,7.9452054794520555,18.08219178082192,0.0,0.821917808219178,12.602739726027398,67.67123287671232,0.821917808219178
93,alabama,jefferson,AL,2002,01073,01,073,207,115,3.0136986301369864,3.5616438356164384,0.0,1.36986301369863,17.534246575342465,66.02739726027397,11.506849315068493
94,alabama,jefferson,AL,2003,01073,01,073,178,109,1.36986301369863,0.0,0.0,7.397260273972603,12.054794520547945,62.465753424657535,18.08219178082192
95,alabama,jefferson,AL,2004,01073,01,073,166,101,1.092896174863388,2.73224043715847,0.0,1.639344262295082,9.562841530054644,78.68852459016394,7.377049180327869
96,alabama,jefferson,AL,2005,01073,01,073,177,117,2.4657534246575343,10.684931506849315,0.0,1.9178082191780823,12.876712328767123,66.02739726027397,8.493150684931507
97,alabama,jefferson,AL,2006,01073,01,073,204,118,3.5616438356164384,13.150684931506849,0.0,3.287671232876712,16.986301369863014,55.342465753424655,11.232876712328768
98,alabama,jefferson,AL,2007,01073,01,073,203,127,4.657534246575342,5.205479452054795,0.0,1.36986301369863,20.273972602739725,58.082191780821915,15.068493150684931
99,alabama,jefferson,AL,2008,01073,01,073,174,97,1.092896174863388,5.737704918032787,0.0,3.0054644808743167,17.21311475409836,63.387978142076506,10.655737704918032
100,alabama,jefferson,AL,2009,01073,01,073,150,76,0.0,1.095890410958904,0.0,1.9178082191780823,16.71232876712329,70.13698630136986,10.136986301369863
101,alabama,jefferson,AL,2010,01073,01,073,166,97,1.095890410958904,0.273972602739726,0.0,1.095890410958904,33.97260273972603,56.43835616438356,8.21917808219178
102,alabama,jefferson,AL,2011,01073,01,073,182,105,1.643835616438356,0.547945205479452,0.0,0.821917808219178,32.87671232876712,61.369863013698634,4.383561643835616
103,alabama,jefferson,AL,2012,01073,01,073,172,87,1.092896174863388,0.0,0.0,1.912568306010929,38.25136612021858,59.01639344262295,0.819672131147541
104,alabama,jefferson,AL,2013,01073,01,073,129,68,0.0,0.0,0.273972602739726,0.821917808219178,29.041095890410958,69.58904109589041,0.273972602739726
105,alabama,jefferson,AL,2014,01073,01,073,112,74,0.0,0.0,1.9178082191780823,0.547945205479452,19.45205479452055,77.53424657534246,0.547945205479452
106,alabama,jefferson,AL,2015,01073,01,073,147,70,0.0,0.0,3.0136986301369864,1.643835616438356,29.041095890410958,65.47945205479452,0.821917808219178
107,alabama,jefferson,AL,2016,01073,01,073,151,77,0.273224043715847,0.0,4.371584699453552,0.273224043715847,40.16393442622951,54.37158469945356,0.819672131147541
108,alabama,jefferson,AL,2017,01073,01,073,129,76,0.0,0.0,0.547945205479452,19.17808219178082,23.28767123287671,56.71232876712329,0.273972602739726
109,alabama,lauderdale,AL,1980,01077,01,077,200,139,6.934306569343065,0.0,0.0,100.0,0.0,0.0,0.0
110,alabama,lauderdale,AL,1981,01077,01,077,200,130,5.6657223796034,0.0,0.0,100.0,0.0,0.0,0.0
111,alabama,lauderdale,AL,1982,01077,01,077,200,132,5.649717514124294,0.0,0.0,100.0,0.0,0.0,0.0
112,alabama,lauderdale,AL,1983,01077,01,077,200,103,2.3738872403560833,0.0,0.0,100.0,0.0,0.0,0.0
113,alabama,lauderdale,AL,1984,01077,01,077,200,106,2.1212121212121215,0.0,0.0,100.0,0.0,0.0,0.0
114,alabama,lauderdale,AL,1985,01077,01,077,137,100,0.0,0.0,0.0,100.0,0.0,0.0,0.0
115,alabama,lauderdale,AL,1986,01077,01,077,190,94,0.9146341463414633,0.0,0.0,100.0,0.0,0.0,0.0
116,alabama,lauderdale,AL,1987,01077,01,077,176,87,0.78125,0.0,0.0,100.0,0.0,0.0,0.0
117,alabama,lauderdale,AL,1988,01077,01,077,177,92,1.466275659824047,0.0,0.0,100.0,0.0,0.0,0.0
118,alabama,lauderdale,AL,1989,01077,01,077,200,102,1.7241379310344827,0.0,0.0,100.0,0.0,0.0,0.0
119,alabama,lauderdale,AL,1990,01077,01,077,161,76,0.2849002849002849,0.0,0.0,100.0,0.0,0.0,0.0
120,alabama,lauderdale,AL,1991,01077,01,077,160,69,0.2890173410404624,0.0,0.0,100.0,0.0,0.0,0.0
121,alabama,lauderdale,AL,1992,01077,01,077,139,51,0.0,0.0,0.0,100.0,0.0,0.0,0.0
122,alabama,madison,AL,1980,01089,01,089,185,114,1.5527950310559007,1.5527950310559007,50.931677018633536,0.0,47.51552795031056,0.0,0.0
123,alabama,madison,AL,1981,01089,01,089,150,90,0.0,0.0,0.0,0.0,100.0,0.0,0.0
124,alabama,madison,AL,1982,01089,01,089,185,90,0.9523809523809524,0.0,0.0,0.0,100.0,0.0,0.0
125,alabama,madison,AL,1983,01089,01,089,208,100,2.4242424242424243,0.0,0.0,0.0,100.0,0.0,0.0
126,alabama,madison,AL,1987,01089,01,089,172,108,2.5316455696202533,0.0,0.0,0.0,100.0,0.0,0.0
127,alabama,madison,AL,1988,01089,01,089,205,122,6.027397260273973,26.575342465753426,0.0,0.0,64.65753424657534,0.0,8.767123287671232
128,alabama,madison,AL,1989,01089,01,089,112,67,0.0,15.342465753424658,0.0,0.0,64.38356164383562,0.0,20.273972602739725
129,alabama,madison,AL,1990,01089,01,089,136,80,0.0,14.088397790055248,0.0,0.0,61.04972375690608,0.0,24.861878453038674
