,FIPS,County,State,State Abbreviation,2010 Census,2011 Estimate,2012 Estimate,2013 Estimate,2014 Estimate,2015 Estimate,2016 Estimate,2017 Estimate
0,01001,autauga,alabama,AL,54571,55199,54927,54695,54864,54838,55278,55504
1,01003,baldwin,alabama,AL,182265,186534,190048,194736,199064,202863,207509,212628
2,01005,barbour,alabama,AL,27457,27351,27175,26947,26749,26264,25774,25270
3,01007,bibb,alabama,AL,22915,22745,22658,22503,22533,22561,22633,22668
4,01009,blount,alabama,AL,57322,57562,57595,57623,57546,57590,57562,58013
5,01011,bullock,alabama,AL,10914,10675,10612,10549,10673,10419,10441,10309
6,01013,butler,alabama,AL,20947,20880,20688,20372,20327,20141,19965,19825
7,01015,calhoun,alabama,AL,118572,117785,117219,116482,115941,115505,114980,114728
8,01017,chambers,alabama,AL,34215,34031,34092,34122,33948,33968,33717,33713
9,01019,cherokee,alabama,AL,25989,25993,25958,26014,25897,25741,25766,25857
10,01021,chilton,alabama,AL,43643,43688,43601,43645,43779,43706,43830,44067
11,01023,choctaw,alabama,AL,13859,13607,13561,13396,13318,13231,13050,12945
12,01025,clarke,alabama,AL,25833,25582,25152,25118,24865,24708,24350,24083
13,01027,clay,alabama,AL,13932,13688,13434,13406,13440,13414,13410,13367
14,01029,cleburne,alabama,AL,14972,14928,14889,14976,15026,14922,14873,14900
15,01031,coffee,alabama,AL,49948,50434,51113,50647,50652,50974,51217,51874
16,01033,colbert,alabama,AL,54428,54534,54569,54528,54461,54358,54327,54500
17,01035,conecuh,alabama,AL,13228,13187,13041,12908,12677,12678,12515,12469
18,01037,coosa,alabama,AL,11539,11484,11347,11253,11034,10923,10809,10754
19,01039,covington,alabama,AL,37765,38017,37803,37811,37755,37550,37386,37092
20,01041,crenshaw,alabama,AL,13906,13898,13916,13847,13852,13851,13907,13871
21,01043,cullman,alabama,AL,80406,80411,80275,80674,81041,81721,82322,82755
22,01045,dale,alabama,AL,50251,50107,50287,49759,49409,49344,49228,49226
23,01047,dallas,alabama,AL,43820,43256,42795,41981,41559,40939,40081,39215
24,01049,dekalb,alabama,AL,71109,71353,70944,70905,71034,71198,71216,71617
25,01051,elmore,alabama,AL,79303,80006,80220,80555,80562,80912,81240,81677
26,01053,escambia,alabama,AL,38319,38202,38028,37773,37740,37667,37476,37447
27,01055,etowah,alabama,AL,104430,104354,104257,103865,103374,102942,102726,102755
28,01057,fayette,alabama,AL,17241,17050,16944,16823,16768,16688,16538,16468
29,01059,franklin,alabama,AL,31704,31767,31658,31504,31494,31467,31577,31495
30,01061,geneva,alabama,AL,26790,26760,26928,26684,26598,26639,26516,26421
31,01063,greene,alabama,AL,9045,8907,8852,8752,8587,8510,8488,8330
32,01065,hale,alabama,AL,15760,15358,15360,15248,15048,15018,14847,14812
33,01067,henry,alabama,AL,17302,17376,17157,17130,17080,17102,17092,17147
34,01069,houston,alabama,AL,101547,102468,103362,103625,104148,104249,104173,104346
35,01071,jackson,alabama,AL,53227,53212,53054,52923,52541,52207,52049,51909
36,01073,jefferson,alabama,AL,658466,657789,657668,658727,659544,660087,659747,659197
37,01075,lamar,alabama,AL,14564,14287,14245,14210,14070,13931,13949,13946
38,01077,lauderdale,alabama,AL,92709,92603,92652,92688,92983,92422,92319,92538
39,01079,lawrence,alabama,AL,34339,34047,33805,33575,33448,33137,33232,33049
40,01081,lee,alabama,AL,140247,144117,148318,151445,154211,156740,158983,161604
41,01083,limestone,alabama,AL,82782,85530,87322,88902,90616,91633,92920,94402
42,01085,lowndes,alabama,AL,11299,11130,10846,10658,10489,10345,10241,10076
43,01087,macon,alabama,AL,21452,21284,20603,20021,19640,19304,19072,18755
44,01089,madison,alabama,AL,334811,339519,342554,346373,349596,352740,356312,361046
45,01091,marengo,alabama,AL,21027,20649,20360,20105,19975,19757,19505,19375
46,01093,marion,alabama,AL,30776,30650,30480,30220,30200,30116,29922,29833
47,01095,marshall,alabama,AL,93019,93890,94217,94291,94232,94577,95043,95548
48,01097,mobile,alabama,AL,412992,413232,413737,413929,414314,414588,414852,413955
49,01099,monroe,alabama,AL,23068,22800,22587,22176,21931,21720,21572,21327
50,01101,montgomery,alabama,AL,229363,229162,228702,227927,227307,227002,226716,226646
51,01103,morgan,alabama,AL,119490,120007,120075,119539,119408,119199,118819,118818
52,01105,perry,alabama,AL,10591,10472,10184,10019,9819,9653,9570,9339
53,01107,pickens,alabama,AL,19746,19354,19313,19302,20282,20776,20315,20176
54,01109,pike,alabama,AL,32899,32967,33093,33563,33016,33372,33215,33267
55,01111,randolph,alabama,AL,22913,22740,22532,22546,22350,22588,22498,22670
56,01113,russell,alabama,AL,52947,54833,57478,59123,59207,58847,58177,57045
57,01115,st. clair,alabama,AL,83593,84211,84975,86029,86219,86758,87482,88199
58,01117,shelby,alabama,AL,195085,197885,200828,203897,206152,208877,211073,213605
59,01119,sumter,alabama,AL,13763,13491,13428,13376,13253,13174,12932,12687
60,01121,talladega,alabama,AL,82291,81792,82072,81497,81445,81047,80386,80065
61,01123,tallapoosa,alabama,AL,41616,41394,41040,41021,40886,40617,40574,40681
62,01125,tuscaloosa,alabama,AL,194656,196699,198597,200752,202803,204473,206282,207811
63,01127,walker,alabama,AL,67023,66577,66084,65749,65326,64939,64561,64058
64,01129,washington,alabama,AL,17581,17355,17140,16888,16851,16812,16646,16531
65,01131,wilcox,alabama,AL,11670,11440,11306,11150,10951,10901,10875,10719
66,01133,winston,alabama,AL,24484,24354,24186,24183,24129,23918,23887,23722
67,02013,aleutians east borough,alaska,AK,3141,3262,3304,3324,3325,3346,3324,3370
68,02016,aleutians west census area,alaska,AK,5561,5587,5689,5752,5839,5818,5747,5763
69,02020,anchorage municipality,alaska,AK,291826,296291,298520,301081,300296,298018,297376,294356
70,02050,bethel census area,alaska,AK,17013,17416,17656,17847,17929,17951,17980,18076
71,02060,bristol bay borough,alaska,AK,997,1030,980,952,949,904,905,867
72,02068,denali borough,alaska,AK,1826,1870,1909,1932,1913,1931,2045,2074
73,02070,dillingham census area,alaska,AK,4847,4948,4953,4981,4987,4993,4976,4932
74,02090,fairbanks north star borough,alaska,AK,97581,98136,100354,100898,99308,99643,100602,99703
75,02100,haines borough,alaska,AK,2508,2574,2578,2559,2555,2516,2531,2526
