,County,FIPS,Population,State,State Abbreviation,Year
0,autauga,01001,54571,alabama,AL,2010
1,autauga,01001,55199,alabama,AL,2011
2,autauga,01001,54927,alabama,AL,2012
3,autauga,01001,54695,alabama,AL,2013
4,autauga,01001,54864,alabama,AL,2014
5,autauga,01001,54838,alabama,AL,2015
6,autauga,01001,55278,alabama,AL,2016
7,baldwin,01003,182265,alabama,AL,2010
8,baldwin,01003,186534,alabama,AL,2011
9,baldwin,01003,190048,alabama,AL,2012
10,baldwin,01003,194736,alabama,AL,2013
11,baldwin,01003,199064,alabama,AL,2014
12,baldwin,01003,202863,alabama,AL,2015
13,baldwin,01003,207509,alabama,AL,2016
14,barbour,01005,27457,alabama,AL,2010
15,barbour,01005,27351,alabama,AL,2011
16,barbour,01005,27175,alabama,AL,2012
17,barbour,01005,26947,alabama,AL,2013
18,barbour,01005,26749,alabama,AL,2014
19,barbour,01005,26264,alabama,AL,2015
20,barbour,01005,25774,alabama,AL,2016
21,bibb,01007,22915,alabama,AL,2010
22,bibb,01007,22745,alabama,AL,2011
23,bibb,01007,22658,alabama,AL,2012
24,bibb,01007,22503,alabama,AL,2013
25,bibb,01007,22533,alabama,AL,2014
26,bibb,01007,22561,alabama,AL,2015
27,bibb,01007,22633,alabama,AL,2016
28,blount,01009,57322,alabama,AL,2010
29,blount,01009,57562,alabama,AL,2011
30,blount,01009,57595,alabama,AL,2012
31,blount,01009,57623,alabama,AL,2013
32,blount,01009,57546,alabama,AL,2014
33,blount,01009,57590,alabama,AL,2015
34,blount,01009,57562,alabama,AL,2016
35,bullock,01011,10914,alabama,AL,2010
36,bullock,01011,10675,alabama,AL,2011
37,bullock,01011,10612,alabama,AL,2012
38,bullock,01011,10549,alabama,AL,2013
39,bullock,01011,10673,alabama,AL,2014
40,bullock,01011,10419,alabama,AL,2015
41,bullock,01011,10441,alabama,AL,2016
42,butler,01013,20947,alabama,AL,2010
43,butler,01013,20880,alabama,AL,2011
44,butler,01013,20688,alabama,AL,2012
45,butler,01013,20372,alabama,AL,2013
46,butler,01013,20327,alabama,AL,2014
47,butler,01013,20141,alabama,AL,2015
48,butler,01013,19965,alabama,AL,2016
49,calhoun,01015,118572,alabama,AL,2010
50,calhoun,01015,117785,alabama,AL,2011
51,calhoun,01015,117219,alabama,AL,2012
52,calhoun,01015,116482,alabama,AL,2013
53,calhoun,01015,115941,alabama,AL,2014
54,calhoun,01015,115505,alabama,AL,2015
55,calhoun,01015,114980,alabama,AL,2016
56,chambers,01017,34215,alabama,AL,2010
57,chambers,01017,34031,alabama,AL,2011
58,chambers,01017,34092,alabama,AL,2012
59,chambers,01017,34122,alabama,AL,2013
60,chambers,01017,33948,alabama,AL,2014
61,chambers,01017,33968,alabama,AL,2015
62,chambers,01017,33717,alabama,AL,2016
63,cherokee,01019,25989,alabama,AL,2010
64,cherokee,01019,25993,alabama,AL,2011
65,cherokee,01019,25958,alabama,AL,2012
66,cherokee,01019,26014,alabama,AL,2013
67,cherokee,01019,25897,alabama,AL,2014
68,cherokee,01019,25741,alabama,AL,2015
69,cherokee,01019,25766,alabama,AL,2016
70,chilton,01021,43643,alabama,AL,2010
71,chilton,01021,43688,alabama,AL,2011
72,chilton,01021,43601,alabama,AL,2012
73,chilton,01021,43645,alabama,AL,2013
74,chilton,01021,43779,alabama,AL,2014
75,chilton,01021,43706,alabama,AL,2015
76,chilton,01021,43830,alabama,AL,2016
77,choctaw,01023,13859,alabama,AL,2010
78,choctaw,01023,13607,alabama,AL,2011
79,choctaw,01023,13561,alabama,AL,2012
80,choctaw,01023,13396,alabama,AL,2013
81,choctaw,01023,13318,alabama,AL,2014
82,choctaw,01023,13231,alabama,AL,2015
83,choctaw,01023,13050,alabama,AL,2016
84,clarke,01025,25833,alabama,AL,2010
85,clarke,01025,25582,alabama,AL,2011
86,clarke,01025,25152,alabama,AL,2012
87,clarke,01025,25118,alabama,AL,2013
88,clarke,01025,24865,alabama,AL,2014
89,clarke,01025,24708,alabama,AL,2015
90,clarke,01025,24350,alabama,AL,2016
91,clay,01027,13932,alabama,AL,2010
92,clay,01027,13688,alabama,AL,2011
93,clay,01027,13434,alabama,AL,2012
94,clay,01027,13406,alabama,AL,2013
95,clay,01027,13440,alabama,AL,2014
96,clay,01027,13414,alabama,AL,2015
97,clay,01027,13410,alabama,AL,2016
98,cleburne,01029,14972,alabama,AL,2010
99,cleburne,01029,14928,alabama,AL,2011
100,cleburne,01029,14889,alabama,AL,2012
101,cleburne,01029,14976,alabama,AL,2013
102,cleburne,01029,15026,alabama,AL,2014
103,cleburne,01029,14922,alabama,AL,2015
104,cleburne,01029,14873,alabama,AL,2016
105,coffee,01031,49948,alabama,AL,2010
106,coffee,01031,50434,alabama,AL,2011
107,coffee,01031,51113,alabama,AL,2012
108,coffee,01031,50647,alabama,AL,2013
109,coffee,01031,50652,alabama,AL,2014
110,coffee,01031,50974,alabama,AL,2015
111,coffee,01031,51217,alabama,AL,2016
112,colbert,01033,54428,alabama,AL,2010
113,colbert,01033,54534,alabama,AL,2011
114,colbert,01033,54569,alabama,AL,2012
115,colbert,01033,54528,alabama,AL,2013
116,colbert,01033,54461,alabama,AL,2014
117,colbert,01033,54358,alabama,AL,2015
118,colbert,01033,54327,alabama,AL,2016
119,conecuh,01035,13228,alabama,AL,2010
120,conecuh,01035,13187,alabama,AL,2011
121,conecuh,01035,13041,alabama,AL,2012
122,conecuh,01035,12908,alabama,AL,2013
123,conecuh,01035,12677,alabama,AL,2014
124,conecuh,01035,12678,alabama,AL,2015
125,conecuh,01035,12515,alabama,AL,2016
126,coosa,01037,11539,alabama,AL,2010
127,coosa,01037,11484,alabama,AL,2011
128,coosa,01037,11347,alabama,AL,2012
129,coosa,01037,11253,alabama,AL,2013
130,coosa,01037,11034,alabama,AL,2014
131,coosa,01037,10923,alabama,AL,2015
132,coosa,01037,10809,alabama,AL,2016
133,covington,01039,37765,alabama,AL,2010
134,covington,01039,38017,alabama,AL,2011
135,covington,01039,37803,alabama,AL,2012
136,covington,01039,37811,alabama,AL,2013
137,covington,01039,37755,alabama,AL,2014
138,covington,01039,37550,alabama,AL,2015
139,covington,01039,37386,alabama,AL,2016
140,crenshaw,01041,13906,alabama,AL,2010
141,crenshaw,01041,13898,alabama,AL,2011
142,crenshaw,01041,13916,alabama,AL,2012
143,crenshaw,01041,13847,alabama,AL,2013
144,crenshaw,01041,13852,alabama,AL,2014
145,crenshaw,01041,13851,alabama,AL,2015
146,crenshaw,01041,13907,alabama,AL,2016
147,cullman,01043,80406,alabama,AL,2010
148,cullman,01043,80411,alabama,AL,2011
149,cullman,01043,80275,alabama,AL,2012
150,cullman,01043,80674,alabama,AL,2013
151,cullman,01043,81041,alabama,AL,2014
152,cullman,01043,81721,alabama,AL,2015
153,cullman,01043,82322,alabama,AL,2016
154,dale,01045,50251,alabama,AL,2010
155,dale,01045,50107,alabama,AL,2011
156,dale,01045,50287,alabama,AL,2012
157,dale,01045,49759,alabama,AL,2013
158,dale,01045,49409,alabama,AL,2014
159,dale,01045,49344,alabama,AL,2015
160,dale,01045,49228,alabama,AL,2016
161,dallas,01047,43820,alabama,AL,2010
162,dallas,01047,43256,alabama,AL,2011
163,dallas,01047,42795,alabama,AL,2012
164,dallas,01047,41981,alabama,AL,2013
165,dallas,01047,41559,alabama,AL,2014
166,dallas,01047,40939,alabama,AL,2015
167,dallas,01047,40081,alabama,AL,2016
168,dekalb,01049,71109,alabama,AL,2010
169,dekalb,01049,71353,alabama,AL,2011
170,dekalb,01049,70944,alabama,AL,2012
171,dekalb,01049,70905,alabama,AL,2013
172,dekalb,01049,71034,alabama,AL,2014
173,dekalb,01049,71198,alabama,AL,2015
174,dekalb,01049,71216,alabama,AL,2016
175,elmore,01051,79303,alabama,AL,2010
176,elmore,01051,80006,alabama,AL,2011
177,elmore,01051,80220,alabama,AL,2012
178,elmore,01051,80555,alabama,AL,2013
179,elmore,01051,80562,alabama,AL,2014
180,elmore,01051,80912,alabama,AL,2015
181,elmore,01051,81240,alabama,AL,2016
182,escambia,01053,38319,alabama,AL,2010
183,escambia,01053,38202,alabama,AL,2011
184,escambia,01053,38028,alabama,AL,2012
185,escambia,01053,37773,alabama,AL,2013
186,escambia,01053,37740,alabama,AL,2014
187,escambia,01053,37667,alabama,AL,2015
188,escambia,01053,37476,alabama,AL,2016
189,etowah,01055,104430,alabama,AL,2010
190,etowah,01055,104354,alabama,AL,2011
191,etowah,01055,104257,alabama,AL,2012
192,etowah,01055,103865,alabama,AL,2013
193,etowah,01055,103374,alabama,AL,2014
194,etowah,01055,102942,alabama,AL,2015
195,etowah,01055,102726,alabama,AL,2016
196,fayette,01057,17241,alabama,AL,2010
197,fayette,01057,17050,alabama,AL,2011
198,fayette,01057,16944,alabama,AL,2012
199,fayette,01057,16823,alabama,AL,2013
200,fayette,01057,16768,alabama,AL,2014
201,fayette,01057,16688,alabama,AL,2015
202,fayette,01057,16538,alabama,AL,2016
203,franklin,01059,31704,alabama,AL,2010
204,franklin,01059,31767,alabama,AL,2011
205,franklin,01059,31658,alabama,AL,2012
206,franklin,01059,31504,alabama,AL,2013
207,franklin,01059,31494,alabama,AL,2014
208,franklin,01059,31467,alabama,AL,2015
209,franklin,01059,31577,alabama,AL,2016
210,geneva,01061,26790,alabama,AL,2010
211,geneva,01061,26760,alabama,AL,2011
212,geneva,01061,26928,alabama,AL,2012
213,geneva,01061,26684,alabama,AL,2013
214,geneva,01061,26598,alabama,AL,2014
215,geneva,01061,26639,alabama,AL,2015
216,geneva,01061,26516,alabama,AL,2016
217,greene,01063,9045,alabama,AL,2010
218,greene,01063,8907,alabama,AL,2011
219,greene,01063,8852,alabama,AL,2012
220,greene,01063,8752,alabama,AL,2013
221,greene,01063,8587,alabama,AL,2014
222,greene,01063,8510,alabama,AL,2015
223,greene,01063,8488,alabama,AL,2016
224,hale,01065,15760,alabama,AL,2010
225,hale,01065,15358,alabama,AL,2011
226,hale,01065,15360,alabama,AL,2012
227,hale,01065,15248,alabama,AL,2013
228,hale,01065,15048,alabama,AL,2014
229,hale,01065,15018,alabama,AL,2015
230,hale,01065,14847,alabama,AL,2016
231,henry,01067,17302,alabama,AL,2010
232,henry,01067,17376,alabama,AL,2011
233,henry,01067,17157,alabama,AL,2012
234,henry,01067,17130,alabama,AL,2013
235,henry,01067,17080,alabama,AL,2014
236,henry,01067,17102,alabama,AL,2015
237,henry,01067,17092,alabama,AL,2016
238,houston,01069,101547,alabama,AL,2010
239,houston,01069,102468,alabama,AL,2011
240,houston,01069,103362,alabama,AL,2012
241,houston,01069,103625,alabama,AL,2013
242,houston,01069,104148,alabama,AL,2014
243,houston,01069,104249,alabama,AL,2015
244,houston,01069,104173,alabama,AL,2016
245,jackson,01071,53227,alabama,AL,2010
246,jackson,01071,53212,alabama,AL,2011
247,jackson,01071,53054,alabama,AL,2012
248,jackson,01071,52923,alabama,AL,2013
249,jackson,01071,52541,alabama,AL,2014
250,jackson,01071,52207,alabama,AL,2015
251,jackson,01071,52049,alabama,AL,2016
252,jefferson,01073,658466,alabama,AL,2010
253,jefferson,01073,657789,alabama,AL,2011
254,jefferson,01073,657668,alabama,AL,2012
255,jefferson,01073,658727,alabama,AL,2013
256,jefferson,01073,659544,alabama,AL,2014
257,jefferson,01073,660087,alabama,AL,2015
258,jefferson,01073,659747,alabama,AL,2016
259,lamar,01075,14564,alabama,AL,2010
260,lamar,01075,14287,alabama,AL,2011
261,lamar,01075,14245,alabama,AL,2012
262,lamar,01075,14210,alabama,AL,2013
263,lamar,01075,14070,alabama,AL,2014
264,lamar,01075,13931,alabama,AL,2015
265,lamar,01075,13949,alabama,AL,2016
266,lauderdale,01077,92709,alabama,AL,2010
267,lauderdale,01077,92603,alabama,AL,2011
268,lauderdale,01077,92652,alabama,AL,2012
269,lauderdale,01077,92688,alabama,AL,2013
270,lauderdale,01077,92983,alabama,AL,2014
271,lauderdale,01077,92422,alabama,AL,2015
272,lauderdale,01077,92319,alabama,AL,2016
273,lawrence,01079,34339,alabama,AL,2010
274,lawrence,01079,34047,alabama,AL,2011
275,lawrence,01079,33805,alabama,AL,2012
276,lawrence,01079,33575,alabama,AL,2013
277,lawrence,01079,33448,alabama,AL,2014
278,lawrence,01079,33137,alabama,AL,2015
279,lawrence,01079,33232,alabama,AL,2016
280,lee,01081,140247,alabama,AL,2010
281,lee,01081,144117,alabama,AL,2011
282,lee,01081,148318,alabama,AL,2012
283,lee,01081,151445,alabama,AL,2013
284,lee,01081,154211,alabama,AL,2014
285,lee,01081,156740,alabama,AL,2015
286,lee,01081,158983,alabama,AL,2016
287,limestone,01083,82782,alabama,AL,2010
288,limestone,01083,85530,alabama,AL,2011
289,limestone,01083,87322,alabama,AL,2012
290,limestone,01083,88902,alabama,AL,2013
291,limestone,01083,90616,alabama,AL,2014
292,limestone,01083,91633,alabama,AL,2015
293,limestone,01083,92920,alabama,AL,2016
294,lowndes,01085,11299,alabama,AL,2010
295,lowndes,01085,11130,alabama,AL,2011
296,lowndes,01085,10846,alabama,AL,2012
297,lowndes,01085,10658,alabama,AL,2013
298,lowndes,01085,10489,alabama,AL,2014
299,lowndes,01085,10345,alabama,AL,2015
300,lowndes,01085,10241,alabama,AL,2016
301,macon,01087,21452,alabama,AL,2010
302,macon,01087,21284,alabama,AL,2011
303,macon,01087,20603,alabama,AL,2012
304,macon,01087,20021,alabama,AL,2013
305,macon,01087,19640,alabama,AL,2014
306,macon,01087,19304,alabama,AL,2015
307,macon,01087,19072,alabama,AL,2016
308,madison,01089,334811,alabama,AL,2010
309,madison,01089,339519,alabama,AL,2011
310,madison,01089,342554,alabama,AL,2012
311,madison,01089,346373,alabama,AL,2013
312,madison,01089,349596,alabama,AL,2014
313,madison,01089,352740,alabama,AL,2015
314,madison,01089,356312,alabama,AL,2016
315,marengo,01091,21027,alabama,AL,2010
316,marengo,01091,20649,alabama,AL,2011
317,marengo,01091,20360,alabama,AL,2012
318,marengo,01091,20105,alabama,AL,2013
319,marengo,01091,19975,alabama,AL,2014
320,marengo,01091,19757,alabama,AL,2015
321,marengo,01091,19505,alabama,AL,2016
322,marion,01093,30776,alabama,AL,2010
323,marion,01093,30650,alabama,AL,2011
324,marion,01093,30480,alabama,AL,2012
325,marion,01093,30220,alabama,AL,2013
326,marion,01093,30200,alabama,AL,2014
327,marion,01093,30116,alabama,AL,2015
328,marion,01093,29922,alabama,AL,2016
329,marshall,01095,93019,alabama,AL,2010
330,marshall,01095,93890,alabama,AL,2011
331,marshall,01095,94217,alabama,AL,2012
332,marshall,01095,94291,alabama,AL,2013
333,marshall,01095,94232,alabama,AL,2014
334,marshall,01095,94577,alabama,AL,2015
335,marshall,01095,95043,alabama,AL,2016
336,mobile,01097,412992,alabama,AL,2010
337,mobile,01097,413232,alabama,AL,2011
338,mobile,01097,413737,alabama,AL,2012
339,mobile,01097,413929,alabama,AL,2013
340,mobile,01097,414314,alabama,AL,2014
341,mobile,01097,414588,alabama,AL,2015
342,mobile,01097,414852,alabama,AL,2016
343,monroe,01099,23068,alabama,AL,2010
344,monroe,01099,22800,alabama,AL,2011
345,monroe,01099,22587,alabama,AL,2012
346,monroe,01099,22176,alabama,AL,2013
347,monroe,01099,21931,alabama,AL,2014
348,monroe,01099,21720,alabama,AL,2015
349,monroe,01099,21572,alabama,AL,2016
350,montgomery,01101,229363,alabama,AL,2010
351,montgomery,01101,229162,alabama,AL,2011
352,montgomery,01101,228702,alabama,AL,2012
353,montgomery,01101,227927,alabama,AL,2013
354,montgomery,01101,227307,alabama,AL,2014
355,montgomery,01101,227002,alabama,AL,2015
356,montgomery,01101,226716,alabama,AL,2016
357,morgan,01103,119490,alabama,AL,2010
358,morgan,01103,120007,alabama,AL,2011
359,morgan,01103,120075,alabama,AL,2012
360,morgan,01103,119539,alabama,AL,2013
361,morgan,01103,119408,alabama,AL,2014
362,morgan,01103,119199,alabama,AL,2015
363,morgan,01103,118819,alabama,AL,2016
364,perry,01105,10591,alabama,AL,2010
365,perry,01105,10472,alabama,AL,2011
366,perry,01105,10184,alabama,AL,2012
367,perry,01105,10019,alabama,AL,2013
368,perry,01105,9819,alabama,AL,2014
369,perry,01105,9653,alabama,AL,2015
370,perry,01105,9570,alabama,AL,2016
371,pickens,01107,19746,alabama,AL,2010
372,pickens,01107,19354,alabama,AL,2011
373,pickens,01107,19313,alabama,AL,2012
374,pickens,01107,19302,alabama,AL,2013
375,pickens,01107,20282,alabama,AL,2014
376,pickens,01107,20776,alabama,AL,2015
377,pickens,01107,20315,alabama,AL,2016
378,pike,01109,32899,alabama,AL,2010
379,pike,01109,32967,alabama,AL,2011
380,pike,01109,33093,alabama,AL,2012
381,pike,01109,33563,alabama,AL,2013
382,pike,01109,33016,alabama,AL,2014
383,pike,01109,33372,alabama,AL,2015
384,pike,01109,33215,alabama,AL,2016
385,randolph,01111,22913,alabama,AL,2010
386,randolph,01111,22740,alabama,AL,2011
387,randolph,01111,22532,alabama,AL,2012
388,randolph,01111,22546,alabama,AL,2013
389,randolph,01111,22350,alabama,AL,2014
390,randolph,01111,22588,alabama,AL,2015
391,randolph,01111,22498,alabama,AL,2016
392,russell,01113,52947,alabama,AL,2010
393,russell,01113,54833,alabama,AL,2011
394,russell,01113,57478,alabama,AL,2012
395,russell,01113,59123,alabama,AL,2013
396,russell,01113,59207,alabama,AL,2014
397,russell,01113,58847,alabama,AL,2015
398,russell,01113,58177,alabama,AL,2016
399,st. clair,01115,83593,alabama,AL,2010
400,st. clair,01115,84211,alabama,AL,2011
401,st. clair,01115,84975,alabama,AL,2012
402,st. clair,01115,86029,alabama,AL,2013
403,st. clair,01115,86219,alabama,AL,2014
404,st. clair,01115,86758,alabama,AL,2015
405,st. clair,01115,87482,alabama,AL,2016
406,shelby,01117,195085,alabama,AL,2010
407,shelby,01117,197885,alabama,AL,2011
408,shelby,01117,200828,alabama,AL,2012
409,shelby,01117,203897,alabama,AL,2013
410,shelby,01117,206152,alabama,AL,2014
411,shelby,01117,208877,alabama,AL,2015
412,shelby,01117,211073,alabama,AL,2016
413,sumter,01119,13763,alabama,AL,2010
414,sumter,01119,13491,alabama,AL,2011
415,sumter,01119,13428,alabama,AL,2012
416,sumter,01119,13376,alabama,AL,2013
417,sumter,01119,13253,alabama,AL,2014
418,sumter,01119,13174,alabama,AL,2015
419,sumter,01119,12932,alabama,AL,2016
420,talladega,01121,82291,alabama,AL,2010
421,talladega,01121,81792,alabama,AL,2011
422,talladega,01121,82072,alabama,AL,2012
423,talladega,01121,81497,alabama,AL,2013
424,talladega,01121,81445,alabama,AL,2014
425,talladega,01121,81047,alabama,AL,2015
426,talladega,01121,80386,alabama,AL,2016
427,tallapoosa,01123,41616,alabama,AL,2010
428,tallapoosa,01123,41394,alabama,AL,2011
429,tallapoosa,01123,41040,alabama,AL,2012
430,tallapoosa,01123,41021,alabama,AL,2013
431,tallapoosa,01123,40886,alabama,AL,2014
432,tallapoosa,01123,40617,alabama,AL,2015
433,tallapoosa,01123,40574,alabama,AL,2016
434,tuscaloosa,01125,194656,alabama,AL,2010
435,tuscaloosa,01125,196699,alabama,AL,2011
436,tuscaloosa,01125,198597,alabama,AL,2012
437,tuscaloosa,01125,200752,alabama,AL,2013
438,tuscaloosa,01125,202803,alabama,AL,2014
439,tuscaloosa,01125,204473,alabama,AL,2015
440,tuscaloosa,01125,206282,alabama,AL,2016
441,walker,01127,67023,alabama,AL,2010
442,walker,01127,66577,alabama,AL,2011
443,walker,01127,66084,alabama,AL,2012
444,walker,01127,65749,alabama,AL,2013
445,walker,01127,65326,alabama,AL,2014
446,walker,01127,64939,alabama,AL,2015
447,walker,01127,64561,alabama,AL,2016
448,washington,01129,17581,alabama,AL,2010
449,washington,01129,17355,alabama,AL,2011
450,washington,01129,17140,alabama,AL,2012
451,washington,01129,16888,alabama,AL,2013
452,washington,01129,16851,alabama,AL,2014
453,washington,01129,16812,alabama,AL,2015
454,washington,01129,16646,alabama,AL,2016
455,wilcox,01131,11670,alabama,AL,2010
456,wilcox,01131,11440,alabama,AL,2011
457,wilcox,01131,11306,alabama,AL,2012
458,wilcox,01131,11150,alabama,AL,2013
459,wilcox,01131,10951,alabama,AL,2014
460,wilcox,01131,10901,alabama,AL,2015
461,wilcox,01131,10875,alabama,AL,2016
462,winston,01133,24484,alabama,AL,2010
463,winston,01133,24354,alabama,AL,2011
464,winston,01133,24186,alabama,AL,2012
465,winston,01133,24183,alabama,AL,2013
466,winston,01133,24129,alabama,AL,2014
467,winston,01133,23918,alabama,AL,2015
468,winston,01133,23887,alabama,AL,2016
469,aleutians east borough,02013,3141,alaska,AK,2010
470,aleutians east borough,02013,3262,alaska,AK,2011
471,aleutians east borough,02013,3304,alaska,AK,2012
472,aleutians east borough,02013,3324,alaska,AK,2013
473,aleutians east borough,02013,3325,alaska,AK,2014
474,aleutians east borough,02013,3346,alaska,AK,2015
475,aleutians east borough,02013,3324,alaska,AK,2016
476,aleutians west census area,02016,5561,alaska,AK,2010
477,aleutians west census area,02016,5587,alaska,AK,2011
478,aleutians west census area,02016,5689,alaska,AK,2012
479,aleutians west census area,02016,5752,alaska,AK,2013
480,aleutians west census area,02016,5839,alaska,AK,2014
481,aleutians west census area,02016,5818,alaska,AK,2015
482,aleutians west census area,02016,5747,alaska,AK,2016
483,anchorage municipality,02020,291826,alaska,AK,2010
484,anchorage municipality,02020,296291,alaska,AK,2011
485,anchorage municipality,02020,298520,alaska,AK,2012
486,anchorage municipality,02020,301081,alaska,AK,2013
487,anchorage municipality,02020,300296,alaska,AK,2014
488,anchorage municipality,02020,298018,alaska,AK,2015
489,anchorage municipality,02020,297376,alaska,AK,2016
