,County,State,State Abbreviation,FIPS,State FIPS Code,County FIPS Code
0,autauga,alabama,AL,01001,01,001
1,baldwin,alabama,AL,01003,01,003
2,barbour,alabama,AL,01005,01,005
3,bibb,alabama,AL,01007,01,007
4,blount,alabama,AL,01009,01,009
5,bullock,alabama,AL,01011,01,011
6,butler,alabama,AL,01013,01,013
7,calhoun,alabama,AL,01015,01,015
8,chambers,alabama,AL,01017,01,017
9,cherokee,alabama,AL,01019,01,019
10,chilton,alabama,AL,01021,01,021
11,choctaw,alabama,AL,01023,01,023
12,clarke,alabama,AL,01025,01,025
13,clay,alabama,AL,01027,01,027
14,cleburne,alabama,AL,01029,01,029
15,coffee,alabama,AL,01031,01,031
16,colbert,alabama,AL,01033,01,033
17,conecuh,alabama,AL,01035,01,035
18,coosa,alabama,AL,01037,01,037
19,covington,alabama,AL,01039,01,039
20,crenshaw,alabama,AL,01041,01,041
21,cullman,alabama,AL,01043,01,043
22,dale,alabama,AL,01045,01,045
23,dallas,alabama,AL,01047,01,047
24,dekalb,alabama,AL,01049,01,049
25,elmore,alabama,AL,01051,01,051
26,escambia,alabama,AL,01053,01,053
27,etowah,alabama,AL,01055,01,055
28,fayette,alabama,AL,01057,01,057
29,franklin,alabama,AL,01059,01,059
30,geneva,alabama,AL,01061,01,061
31,greene,alabama,AL,01063,01,063
32,hale,alabama,AL,01065,01,065
33,henry,alabama,AL,01067,01,067
34,houston,alabama,AL,01069,01,069
35,jackson,alabama,AL,01071,01,071
36,jefferson,alabama,AL,01073,01,073
37,lamar,alabama,AL,01075,01,075
38,lauderdale,alabama,AL,01077,01,077
39,lawrence,alabama,AL,01079,01,079
40,lee,alabama,AL,01081,01,081
41,limestone,alabama,AL,01083,01,083
42,lowndes,alabama,AL,01085,01,085
43,macon,alabama,AL,01087,01,087
44,madison,alabama,AL,01089,01,089
45,marengo,alabama,AL,01091,01,091
46,marion,alabama,AL,01093,01,093
47,marshall,alabama,AL,01095,01,095
48,mobile,alabama,AL,01097,01,097
49,monroe,alabama,AL,01099,01,099
50,montgomery,alabama,AL,01101,01,101
51,morgan,alabama,AL,01103,01,103
52,perry,alabama,AL,01105,01,105
53,pickens,alabama,AL,01107,01,107
54,pike,alabama,AL,01109,01,109
55,randolph,alabama,AL,01111,01,111
56,russell,alabama,AL,01113,01,113
57,st. clair,alabama,AL,01115,01,115
58,shelby,alabama,AL,01117,01,117
59,sumter,alabama,AL,01119,01,119
60,talladega,alabama,AL,01121,01,121
61,tallapoosa,alabama,AL,01123,01,123
62,tuscaloosa,alabama,AL,01125,01,125
63,walker,alabama,AL,01127,01,127
64,washington,alabama,AL,01129,01,129
65,wilcox,alabama,AL,01131,01,131
66,winston,alabama,AL,01133,01,133
67,aleutians east borough,alaska,AK,02013,02,013
68,aleutians west census area,alaska,AK,02016,02,016
69,anchorage borough/municipality,alaska,AK,02020,02,020
70,bethel census area,alaska,AK,02050,02,050
71,bristol bay borough,alaska,AK,02060,02,060
72,denali borough,alaska,AK,02068,02,068
73,dillingham census area,alaska,AK,02070,02,070
74,fairbanks north star borough,alaska,AK,02090,02,090
75,haines borough,alaska,AK,02100,02,100
76,hoonah-angoon census area,alaska,AK,02105,02,105
