"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2003,121,100,21,0,0,0,0,71,56,33,0,0,0,0,101,20
"Aberdeen, WA","10140",2003,365,318,47,0,0,0,0,81,52,29,0,0,0,0,361,4
"Adrian, MI","10300",2003,180,118,46,11,4,1,0,206,100,46,0,0,180,0,0,0
"Aguadilla-Isabela, PR","10380",2003,95,94,1,0,0,0,0,69,38,21,0,0,0,0,95,0
"Akron, OH","10420",2003,365,93,198,70,2,2,0,219,118,65,0,0,66,120,178,1
"Albany, GA","10500",2003,121,58,63,0,0,0,0,97,70,52,0,0,0,0,119,2
"Albany, OR","10540",2003,111,90,21,0,0,0,0,91,64,26,0,0,0,0,111,0
"Albany-Schenectady-Troy, NY","10580",2003,365,260,88,13,4,0,0,187,76,41,0,0,294,19,52,0
"Albuquerque, NM","10740",2003,365,100,208,52,5,0,0,168,108,67,0,10,208,0,42,105
"Alexandria, LA","10780",2003,362,292,63,6,1,0,0,151,65,38,0,0,322,0,40,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2003,365,131,201,29,2,2,0,203,99,59,0,14,81,52,205,13
"Altoona, PA","11020",2003,365,274,79,9,3,0,0,197,64,40,0,74,178,98,0,15
"Amarillo, TX","11100",2003,136,125,11,0,0,0,0,70,47,25,0,0,0,0,136,0
"Americus, GA","11140",2003,210,159,45,5,1,0,0,151,77,39,0,0,210,0,0,0
"Ames, IA","11180",2003,214,200,14,0,0,0,0,100,48,34,0,0,214,0,0,0
"Anchorage, AK","11260",2003,309,266,38,3,1,0,1,486,57,24,116,0,0,0,78,115
"Ann Arbor, MI","11460",2003,242,152,71,14,4,1,0,201,95,45,0,0,149,0,93,0
"Appleton, WI","11540",2003,243,186,48,9,0,0,0,150,74,42,0,0,163,0,80,0
"Ardmore, OK","11620",2003,277,152,103,22,0,0,0,150,93,49,0,0,216,0,61,0
"Asheville, NC","11700",2003,304,120,154,30,0,0,0,147,100,58,0,0,158,0,146,0
"Ashtabula, OH","11780",2003,365,289,56,15,3,2,0,204,77,36,0,0,205,160,0,0
"Athens, OH","11900",2003,109,65,43,1,0,0,0,110,73,42,0,0,0,0,107,2
"Athens, TN","11940",2003,320,230,75,12,3,0,0,195,79,30,0,99,0,128,81,12
"Athens-Clarke County, GA","12020",2003,249,137,105,7,0,0,0,150,79,47,0,0,150,0,99,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2003,365,62,245,47,9,2,0,203,120,64,0,8,93,49,214,1
"Atlantic City-Hammonton, NJ","12100",2003,365,278,66,18,1,2,0,205,75,38,0,0,297,13,55,0
"Augusta-Richmond County, GA-SC","12260",2003,365,221,132,12,0,0,0,140,77,44,0,2,212,0,151,0
"Augusta-Waterville, ME","12300",2003,287,267,18,1,1,0,0,151,47,35,0,0,267,0,0,20
"Austin-Round Rock, TX","12420",2003,365,234,111,17,3,0,0,177,84,44,0,8,282,0,71,4
"Bakersfield, CA","12540",2003,365,23,118,100,93,31,0,223,197,118,0,0,205,0,158,2
"Baltimore-Columbia-Towson, MD","12580",2003,365,87,223,46,7,2,0,226,115,64,0,15,88,33,229,0
"Bangor, ME","12620",2003,242,201,36,4,0,1,0,205,60,38,0,0,175,0,65,2
"Baraboo, WI","12660",2003,365,287,66,12,0,0,0,126,67,35,0,6,324,11,24,0
"Barnstable Town, MA","12700",2003,231,165,42,16,7,1,0,205,101,42,0,0,167,0,64,0
"Baton Rouge, LA","12940",2003,365,105,195,45,16,4,0,215,115,61,0,8,132,67,158,0
"Bay City, MI","13020",2003,113,75,38,0,0,0,0,97,68,38,0,0,0,0,113,0
"Beaumont-Port Arthur, TX","13140",2003,365,116,185,52,11,1,0,209,119,62,0,5,122,128,110,0
"Beaver Dam, WI","13180",2003,365,233,111,21,0,0,0,150,84,44,0,0,233,0,132,0
"Beckley, WV","13220",2003,116,67,48,1,0,0,0,113,71,45,0,0,0,0,116,0
"Bellingham, WA","13380",2003,364,324,40,0,0,0,0,77,52,31,0,0,121,0,241,2
"Bend-Redmond, OR","13460",2003,221,205,16,0,0,0,0,86,40,18,131,0,0,0,88,2
"Bennington, VT","13540",2003,354,303,45,6,0,0,0,140,56,34,0,0,312,0,42,0
"Berlin, NH-VT","13620",2003,245,168,63,14,0,0,0,129,80,45,0,0,174,0,71,0
"Billings, MT","13740",2003,365,166,168,30,1,0,0,200,95,55,13,0,0,333,19,0
