Notes,Region,Region Code,State,State Code,Year,Year Code,Month,Month Code,Avg Fine Particulate Matter (µg/m³)
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2003,2003,Jan,1,14.16
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2003,2003,Feb,2,15
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2003,2003,Mar,3,13.57
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2003,2003,Apr,4,9.34
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2003,2003,May,5,9.79
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2003,2003,Jun,6,16.01
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2003,2003,Jul,7,15.87
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2003,2003,Aug,8,15.21
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2003,2003,Sep,9,8.6
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2003,2003,Oct,10,11.23
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2003,2003,Nov,11,13.1
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2003,2003,Dec,12,10.6
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,2003,2003,,,12.7
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2004,2004,Jan,1,11.45
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2004,2004,Feb,2,12.41
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2004,2004,Mar,3,12.3
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2004,2004,Apr,4,9.43
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2004,2004,May,5,12.54
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2004,2004,Jun,6,13.37
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2004,2004,Jul,7,14.4
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2004,2004,Aug,8,13.36
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2004,2004,Sep,9,9.57
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2004,2004,Oct,10,9.66
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2004,2004,Nov,11,10.97
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2004,2004,Dec,12,12.22
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,2004,2004,,,11.81
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2005,2005,Jan,1,12.08
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2005,2005,Feb,2,13.12
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2005,2005,Mar,3,11.17
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2005,2005,Apr,4,9.31
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2005,2005,May,5,7.69
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2005,2005,Jun,6,15.64
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2005,2005,Jul,7,15.29
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2005,2005,Aug,8,15.43
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2005,2005,Sep,9,10.75
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2005,2005,Oct,10,6.96
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2005,2005,Nov,11,13
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2005,2005,Dec,12,14.57
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,2005,2005,,,12.08
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2006,2006,Jan,1,12.85
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2006,2006,Feb,2,11.71
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2006,2006,Mar,3,8.7
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2006,2006,Apr,4,7.21
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2006,2006,May,5,9.54
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2006,2006,Jun,6,12.18
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2006,2006,Jul,7,17.25
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2006,2006,Aug,8,10.9
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2006,2006,Sep,9,9.06
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2006,2006,Oct,10,8.27
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2006,2006,Nov,11,11.76
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2006,2006,Dec,12,10.78
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,2006,2006,,,10.85
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2007,2007,Jan,1,9.37
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2007,2007,Feb,2,10.92
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2007,2007,Mar,3,9.28
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2007,2007,Apr,4,6.61
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2007,2007,May,5,9.17
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2007,2007,Jun,6,13
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2007,2007,Jul,7,14
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2007,2007,Aug,8,12.83
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2007,2007,Sep,9,9.46
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2007,2007,Oct,10,9.81
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2007,2007,Nov,11,10.21
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2007,2007,Dec,12,12.38
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,2007,2007,,,10.59
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2008,2008,Jan,1,13.63
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2008,2008,Feb,2,12.08
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2008,2008,Mar,3,7.88
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2008,2008,Apr,4,7.98
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2008,2008,May,5,8.31
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2008,2008,Jun,6,15.08
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2008,2008,Jul,7,16.27
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2008,2008,Aug,8,8.57
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2008,2008,Sep,9,7.37
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2008,2008,Oct,10,8.12
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2008,2008,Nov,11,9.02
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2008,2008,Dec,12,10.31
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,2008,2008,,,10.38
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2009,2009,Jan,1,13.41
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2009,2009,Feb,2,10.01
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2009,2009,Mar,3,10.51
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2009,2009,Apr,4,10.23
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2009,2009,May,5,9.86
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2009,2009,Jun,6,12.72
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2009,2009,Jul,7,10.56
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2009,2009,Aug,8,11.6
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2009,2009,Sep,9,11.8
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2009,2009,Oct,10,8.31
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2009,2009,Nov,11,11.95
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2009,2009,Dec,12,11.76
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,2009,2009,,,11.06
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2010,2010,Jan,1,10.9
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2010,2010,Feb,2,10.21
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2010,2010,Mar,3,10.03
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2010,2010,Apr,4,10.79
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2010,2010,May,5,11.24
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2010,2010,Jun,6,10.97
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2010,2010,Jul,7,12.07
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2010,2010,Aug,8,11.68
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2010,2010,Sep,9,10.16
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2010,2010,Oct,10,9.73
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2010,2010,Nov,11,10.84
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2010,2010,Dec,12,11.41
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,2010,2010,,,10.84
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2011,2011,Jan,1,12.62
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2011,2011,Feb,2,10.18
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2011,2011,Mar,3,9.62
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2011,2011,Apr,4,9.29
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2011,2011,May,5,9.32
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2011,2011,Jun,6,12.77
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2011,2011,Jul,7,10.1
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2011,2011,Aug,8,10.67
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2011,2011,Sep,9,9.65
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2011,2011,Oct,10,9.07
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2011,2011,Nov,11,9.13
,Census Region 1: Northeast,CENS-R1,Connecticut,9,2011,2011,Dec,12,13.54
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,2011,2011,,,10.5
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,,,,,11.2
,Census Region 1: Northeast,CENS-R1,Maine,23,2003,2003,Jan,1,12.21
,Census Region 1: Northeast,CENS-R1,Maine,23,2003,2003,Feb,2,11.73
,Census Region 1: Northeast,CENS-R1,Maine,23,2003,2003,Mar,3,10.9
,Census Region 1: Northeast,CENS-R1,Maine,23,2003,2003,Apr,4,7.09
