Notes,Region,Region Code,State,State Code,Year,Year Code,Month,Month Code,Avg Daily Precipitation (mm)
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Jan,1,10.28
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Feb,2,3.41
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Mar,3,3.68
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Apr,4,4.91
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,May,5,4.4
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Jun,6,1.48
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Jul,7,1.59
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Aug,8,5.17
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Sep,9,4.51
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Oct,10,3.06
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Nov,11,3.79
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Dec,12,2.22
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,,,4.05
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Jan,1,1.18
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Feb,2,0.81
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Mar,3,7.17
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Apr,4,5.34
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,May,5,1.74
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Jun,6,3.4
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Jul,7,3.51
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Aug,8,1.84
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Sep,9,1.37
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Oct,10,3.14
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Nov,11,3.67
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Dec,12,0.8
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,,,2.84
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Jan,1,0.57
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Feb,2,7.46
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Mar,3,0.62
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Apr,4,3.22
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,May,5,2.81
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Jun,6,2.87
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Jul,7,3.47
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Aug,8,1.08
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Sep,9,3.35
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Oct,10,4.69
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Nov,11,2.14
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Dec,12,4.33
