Notes,Region,Region Code,State,State Code,Year,Year Code,Month,Month Code,Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F),Avg Daily Max Heat Index (F)
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Jan,1,33.69,23.31,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Feb,2,24.56,12.74,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Mar,3,47.81,33.35,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Apr,4,53.61,39.03,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,May,5,66.85,50.92,89.18
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Jun,6,71.44,54.86,85.55
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Jul,7,79.38,63.55,88.01
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Aug,8,75.98,62.23,88.58
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Sep,9,70.16,53.97,83.89
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Oct,10,58.2,45.94,83.1
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Nov,11,53.1,40.62,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,Dec,12,39.43,28.86,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1979,1979,,,56.38,42.64,87.95
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Jan,1,33.84,24.55,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Feb,2,29.9,20.4,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Mar,3,40.83,28.21,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Apr,4,55.42,40,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,May,5,66,48.01,82.7
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Jun,6,71.36,54.03,86.77
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Jul,7,79.74,63.07,88.75
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Aug,8,80.5,64.43,88
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Sep,9,73.28,55.36,87.75
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Oct,10,57.15,44.11,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Nov,11,44.05,31.91,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,Dec,12,34.37,20.64,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1980,1980,,,55.62,41.3,87.95
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Jan,1,24.52,12.01,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Feb,2,41.45,28.29,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Mar,3,43.44,31.18,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Apr,4,56.04,39.39,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,May,5,66.13,47.96,83
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Jun,6,73.31,56.17,89.7
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Jul,7,78.31,63.34,88.52
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Aug,8,77.01,60.9,84.35
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Sep,9,68.83,54.51,85.69
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Oct,10,56.23,42.37,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Nov,11,47.29,35.94,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,Dec,12,34.82,26.4,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1981,1981,,,55.67,41.59,86.68
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1982,1982,Jan,1,26.25,11.42,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1982,1982,Feb,2,33.58,22.37,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1982,1982,Mar,3,42.4,29.04,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1982,1982,Apr,4,50.9,32.92,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1982,1982,May,5,65.52,49.56,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1982,1982,Jun,6,68.55,53.91,84.62
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1982,1982,Jul,7,78.43,62.11,88.05
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1982,1982,Aug,8,74.26,59.25,84.29
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1982,1982,Sep,9,70.51,55.02,82.73
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1982,1982,Oct,10,59.67,44.59,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1982,1982,Nov,11,52.62,38.13,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1982,1982,Dec,12,41.97,31.09,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1982,1982,,,55.51,40.89,87.01
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1983,1983,Jan,1,34.41,24.24,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1983,1983,Feb,2,35.15,22.48,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1983,1983,Mar,3,45.71,33.11,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1983,1983,Apr,4,54.31,40.93,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1983,1983,May,5,62.56,47.28,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1983,1983,Jun,6,75.1,56.96,87.33
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1983,1983,Jul,7,79.46,63,88.47
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1983,1983,Aug,8,79.26,64.07,87.58
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1983,1983,Sep,9,74.96,56.78,87.54
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1983,1983,Oct,10,59.6,45.7,80.58
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1983,1983,Nov,11,50.28,37.23,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1983,1983,Dec,12,35.46,24.88,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1983,1983,,,57.3,43.17,87.82
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Jan,1,29.71,19,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Feb,2,41.16,29.94,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Mar,3,35.23,24.81,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Apr,4,53.48,39.31,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,May,5,61.85,47.79,84.45
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Jun,6,74.51,58.68,92.54
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Jul,7,76.24,62.78,86.07
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Aug,8,78.64,64.79,86.08
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Sep,9,67.81,52.02,82.75
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Oct,10,62.72,48.74,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Nov,11,48.32,34.73,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,Dec,12,42.75,31.5,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1984,1984,,,56.06,42.88,87.8
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Jan,1,28.37,17.21,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Feb,2,34.54,22.58,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Mar,3,45.8,31.53,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Apr,4,56.68,40.34,81.1
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,May,5,65.58,48.64,82.05
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Jun,6,68.93,53.68,82.95
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Jul,7,77.93,62.48,85.81
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Aug,8,76.04,62.5,88.4
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Sep,9,71.7,56.84,88.18
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Oct,10,61.31,45.06,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Nov,11,50.4,38.78,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,Dec,12,34.05,24.92,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1985,1985,,,56.05,42.15,86.91
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Jan,1,34.36,23.34,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Feb,2,30.88,22.38,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Mar,3,46.33,30.44,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Apr,4,56.18,41.13,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,May,5,66.61,48.59,84.57
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Jun,6,71.9,53.84,85.4
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Jul,7,77.02,62.28,87.36
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Aug,8,75.18,60.57,84.64
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Sep,9,69.1,54.73,86.92
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Oct,10,59.89,44.94,81.05
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Nov,11,47.33,32.96,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,Dec,12,38.58,29.24,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1986,1986,,,56.27,42.16,85.98
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Jan,1,30.98,19.93,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Feb,2,31.42,18.42,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Mar,3,46.45,32.4,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Apr,4,55.74,40.7,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,May,5,66.06,47.7,89.76
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Jun,6,74.56,57.99,86.45
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Jul,7,80.24,64.44,89.56
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Aug,8,76.84,59.5,87.47
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Sep,9,69.16,55.92,83.24
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Oct,10,56.92,41.55,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Nov,11,48.59,35.06,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,Dec,12,38.25,29.06,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1987,1987,,,56.41,42.02,88.41
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Jan,1,30.15,19.43,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Feb,2,35.42,24.68,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Mar,3,44.68,29.95,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Apr,4,53.17,38.35,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,May,5,65.88,48.89,82.51
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Jun,6,72.61,54.79,88.81
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Jul,7,80.94,65.36,90.77
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Aug,8,80.71,65.42,92.46
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Sep,9,70.26,52.51,82.34
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Oct,10,55.44,41.61,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Nov,11,50.01,36.01,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,Dec,12,35.93,25.83,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1988,1988,,,56.32,41.96,90.92
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Jan,1,36.95,25.82,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Feb,2,34.89,24.66,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Mar,3,43.19,29.95,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Apr,4,52.71,37.97,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,May,5,65.62,48.65,84.42
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Jun,6,73.79,59.32,86.56
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Jul,7,76.91,62.3,89.08
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Aug,8,76.04,62.57,88.27
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Sep,9,70.07,55.1,88.51
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Oct,10,61.21,46.1,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Nov,11,46.62,34.25,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Dec,12,25.88,14.99,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,,,55.43,41.89,88.2
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Jan,1,38.81,29.28,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Feb,2,40.04,26.53,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Mar,3,46.88,32.44,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Apr,4,55.45,40.29,84.92
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,May,5,61.61,45.48,Missing
